"1_HASH","2_REFACTORINGTYPE","3_OCORRIDO"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","ADD_CLASS_ANNOTATION","Add Class Annotation Add Class Annotation	@SuppressWarnings({""SameNameButDifferent"" ""NullableTypeParameter"" ""TruthSelfEquals""}) in class com.google.auto.value.AutoValueJava8Test"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	propertyMethodsAndTypes : ImmutableMap<ExecutableElement TypeMirror> to propertyMethodsAndTypes : ImmutableMap<ExecutableElement AnnotatedTypeMirror> in method package processType(autoOneOfType TypeElement) : void from class com.google.auto.value.processor.AutoOneOfProcessor"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	propertyMethodsAndTypes : ImmutableMap<ExecutableElement TypeMirror> to propertyMethodsAndTypes : ImmutableMap<ExecutableElement AnnotatedTypeMirror> in method private defineVarsForType(type TypeElement  vars AutoOneOfTemplateVars  propertyMethodsAndTypes ImmutableMap<ExecutableElement AnnotatedTypeMirror>  kindGetter ExecutableElement  nullables Nullables) : void from class com.google.auto.value.processor.AutoOneOfProcessor"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	propertyMethodsAndTypes : ImmutableMap<ExecutableElement TypeMirror> to propertyMethodsAndTypes : ImmutableMap<ExecutableElement AnnotatedTypeMirror> in method package processType(type TypeElement) : void from class com.google.auto.value.processor.AutoValueProcessor"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	propertyMethodsAndTypes : ImmutableMap<ExecutableElement TypeMirror> to propertyMethodsAndTypes : ImmutableMap<ExecutableElement AnnotatedTypeMirror> in method private defineVarsForType(type TypeElement  vars AutoValueTemplateVars  toBuilderMethods ImmutableSet<ExecutableElement>  propertyMethodsAndTypes ImmutableMap<ExecutableElement AnnotatedTypeMirror>  maybeBuilder Optional<BuilderSpec.Builder>  nullables Nullables  consumedBuilderAbstractMethods ImmutableSet<ExecutableElement>) : void from class com.google.auto.value.processor.AutoValueProcessor"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	typeMirror : TypeMirror to annotatedType : AnnotatedTypeMirror in method package Property(name String  identifier String  type String  annotatedType AnnotatedTypeMirror  nullableAnnotation Optional<String>  nullables Nullables  getter String  maybeBuilderInitializer Optional<String>  hasDefault boolean) from class com.google.auto.value.processor.AutoValueishProcessor.Property"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","RENAME_PARAMETER","Rename Parameter Rename Parameter	typeMirror : TypeMirror to annotatedType : AnnotatedTypeMirror in method package Property(name String  identifier String  type String  annotatedType AnnotatedTypeMirror  nullableAnnotation Optional<String>  nullables Nullables  getter String  maybeBuilderInitializer Optional<String>  hasDefault boolean) from class com.google.auto.value.processor.AutoValueishProcessor.Property"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","RENAME_PARAMETER","Rename Parameter Rename Parameter	typeMirror : TypeMirror to annotatedType : AnnotatedTypeMirror in method private builderInitializer(annotatedType AnnotatedTypeMirror  nullableAnnotation Optional<String>) : String from class com.google.auto.value.processor.AutoValueishProcessor.Property"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	typeMirror : TypeMirror to annotatedType : AnnotatedTypeMirror in method private builderInitializer(annotatedType AnnotatedTypeMirror  nullableAnnotation Optional<String>) : String from class com.google.auto.value.processor.AutoValueishProcessor.Property"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","RENAME_ATTRIBUTE","Rename Attribute Rename Attribute	typeMirror : TypeMirror to annotatedType : AnnotatedTypeMirror in class com.google.auto.value.processor.AutoValueishProcessor.Property"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_ATTRIBUTE_TYPE","Change Attribute Type Change Attribute Type	typeMirror : TypeMirror to annotatedType : AnnotatedTypeMirror in class com.google.auto.value.processor.AutoValueishProcessor.Property"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	typeMirror : TypeMirror to annotatedType : AnnotatedTypeMirror in method package GetterProperty(name String  identifier String  method ExecutableElement  annotatedType AnnotatedTypeMirror  typeString String  fieldAnnotations ImmutableList<String>  methodAnnotations ImmutableList<String>  nullableAnnotation Optional<String>  nullables Nullables) from class com.google.auto.value.processor.AutoValueishProcessor.GetterProperty"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","RENAME_PARAMETER","Rename Parameter Rename Parameter	typeMirror : TypeMirror to annotatedType : AnnotatedTypeMirror in method package GetterProperty(name String  identifier String  method ExecutableElement  annotatedType AnnotatedTypeMirror  typeString String  fieldAnnotations ImmutableList<String>  methodAnnotations ImmutableList<String>  nullableAnnotation Optional<String>  nullables Nullables) from class com.google.auto.value.processor.AutoValueishProcessor.GetterProperty"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","REPLACE_LOOP_WITH_PIPELINE","Replace Loop With Pipeline Replace Loop With Pipeline	for(method: abstractMethods) with return abstractMethods.stream().filter(method -> method.getParameters().isEmpty() && (method.getReturnType().getKind() != TypeKind.VOID || propertiesCanBeVoid()) && objectMethodToOverride(method) == ObjectMethod.NONE).collect(toImmutableMap(method -> method method -> MethodSignature.asMemberOf(typeUtils() autoValueOrOneOfType method).returnType()))  in method package propertyMethodsIn(abstractMethods Set<ExecutableElement>  autoValueOrOneOfType TypeElement) : ImmutableMap<ExecutableElement AnnotatedTypeMirror> from class com.google.auto.value.processor.AutoValueishProcessor"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_RETURN_TYPE","Change Return Type Change Return Type	ImmutableMap<ExecutableElement TypeMirror> to ImmutableMap<ExecutableElement AnnotatedTypeMirror> in method package propertyMethodsIn(abstractMethods Set<ExecutableElement>  autoValueOrOneOfType TypeElement) : ImmutableMap<ExecutableElement AnnotatedTypeMirror> from class com.google.auto.value.processor.AutoValueishProcessor"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	propertyMethodsAndTypes : ImmutableMap<ExecutableElement TypeMirror> to propertyMethodsAndTypes : ImmutableMap<ExecutableElement AnnotatedTypeMirror> in method package propertySet(propertyMethodsAndTypes ImmutableMap<ExecutableElement AnnotatedTypeMirror>  annotatedPropertyFields ImmutableListMultimap<ExecutableElement AnnotationMirror>  annotatedPropertyMethods ImmutableListMultimap<ExecutableElement AnnotationMirror>  nullables Nullables) : ImmutableSet<Property> from class com.google.auto.value.processor.AutoValueishProcessor"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_ATTRIBUTE_TYPE","Change Attribute Type Change Attribute Type	rewrittenPropertyTypes : ImmutableMap<String TypeMirror> to rewrittenPropertyTypes : ImmutableMap<String AnnotatedTypeMirror> in class com.google.auto.value.processor.BuilderMethodClassifier"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	builderGetterType : TypeMirror to builderGetterType : AnnotatedTypeMirror in method private classifyGetter(builderGetter ExecutableElement  propertyName String) : void from class com.google.auto.value.processor.BuilderMethodClassifier"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_RETURN_TYPE","Change Return Type Change Return Type	TypeMirror to AnnotatedTypeMirror in method package builderMethodReturnType(builderMethod ExecutableElement) : AnnotatedTypeMirror from class com.google.auto.value.processor.BuilderMethodClassifier"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	rewrittenPropertyTypes : ImmutableMap<String TypeMirror> to rewrittenPropertyTypes : ImmutableMap<String AnnotatedTypeMirror> in method package BuilderMethodClassifier(errorReporter ErrorReporter  processingEnv ProcessingEnvironment  builtType TypeMirror  builderType TypeElement  rewrittenPropertyTypes ImmutableMap<String AnnotatedTypeMirror>  propertiesWithDefaults ImmutableSet<String>  nullables Nullables) from class com.google.auto.value.processor.BuilderMethodClassifier"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	rewrittenPropertyTypes : ImmutableMap<String TypeMirror> to rewrittenPropertyTypes : ImmutableMap<String AnnotatedTypeMirror> in method package classify(methods Iterable<ExecutableElement>  errorReporter ErrorReporter  processingEnv ProcessingEnvironment  executable Executable  builtType TypeMirror  builderType TypeElement  propertiesWithDefaults ImmutableSet<String>  nullables Nullables) : Optional<BuilderMethodClassifier<VariableElement>> from class com.google.auto.value.processor.BuilderMethodClassifierForAutoBuilder"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_RETURN_TYPE","Change Return Type Change Return Type	ImmutableMap<String TypeMirror> to ImmutableMap<String AnnotatedTypeMirror> in method private rewriteParameterTypes(executable Executable  builderType TypeElement  errorReporter ErrorReporter  typeUtils Types) : ImmutableMap<String AnnotatedTypeMirror> from class com.google.auto.value.processor.BuilderMethodClassifierForAutoBuilder"
